Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,
0,data/screenshots/0_1_0_2_0_50_50_0_0_1.837642_1.193076_3.316561_50_64.1612_47.29133_1000_314.1612_0_0_0_50_1_0_4.png,1,0,2,0,50,50,0,0,1.837642,1.193076,3.316561,50,64.1612,47.29133,1000,314.1612,0,0,0,50,1,2.032898,0,0,4,
1,data/screenshots/1_0_1_5_0_50_50_0_0_0_1.329905_2.02363_2.320255_172.1415_282.076_251.975_121.3027_0_0_0_50_0_1_6.png,0,1,5,0,50,50,0,0,0,1.329905,2.02363,2.320255,172.1415,282.076,251.975,121.3027,0,0,0,50,0,50,1,0,6,
2,data/screenshots/2_0_1_7_3_0.5783983_0_1_1_0_0.5783983_0.5783983_0.5783985_238_118_358_0_1_1_0_50_0_2_8.png,0,1,7,3,0.5783983,0,1,1,0,0.5783983,0.5783983,0.5783985,238,118,358,0,1,1,0,50,0,50,2,0,8,
3,data/screenshots/3_1_0_2_3_0.9104733_4.607809_0_1_2.831473_4.212121_4.241511_4.529085_10.67984_349.181_3.903671_249.7003_1_0_2_4.529085_0_0_6.png,1,0,2,3,0.9104733,4.607809,0,1,2.831473,4.212121,4.241511,4.529085,10.67984,349.181,3.903671,249.7003,1,0,2,4.529085,0,50,0,0,6,
4,data/screenshots/4_0_1_2_3_0.6858397_0_1_1_0_0.6858397_0.6858397_0.6858397_144_264_24_0_1_1_0_50_0_0_4.png,0,1,2,3,0.6858397,0,1,1,0,0.6858397,0.6858397,0.6858397,144,264,24,0,1,1,0,50,0,50,0,0,4,
5,data/screenshots/5_1_0_6_0_50_50_1_0_1.701569_1.423112_4.27_4.39415_281.8426_272.1842_282.8259_200.8426_1_1_0_50_0_0_7.png,1,0,6,0,50,50,1,0,1.701569,1.423112,4.27,4.39415,281.8426,272.1842,282.8259,200.8426,1,1,0,50,0,50,0,0,7,
6,data/screenshots/6_0_1_4_3_0.6301446_0_1_1_0_0.6301444_0.6301444_0.6301446_332_92_212_0_1_1_0_50_0_0_5.png,0,1,4,3,0.6301446,0,1,1,0,0.6301444,0.6301444,0.6301446,332,92,212,0,1,1,0,50,0,50,0,0,5,
7,data/screenshots/7_1_0_4_0_50_50_1_0_2.545279_1.228219_1.782942_2.080051_232.7322_155.3124_40.80389_41.73221_1_1_0_50_0_0_5.png,1,0,4,0,50,50,1,0,2.545279,1.228219,1.782942,2.080051,232.7322,155.3124,40.80389,41.73221,1,1,0,50,0,50,0,0,5,
8,data/screenshots/8_0_1_0_0_50_50_1_0_0_50_50_50_1000_1000_1000_1000_1_1_0_50_0_0_1.png,0,1,0,0,50,50,1,0,0,50,50,50,1000,1000,1000,1000,1,1,0,50,0,50,0,0,1,
9,data/screenshots/9_0_1_2_0_50_50_1_0_0_0.7819053_4.473679_50_66.36435_356.1009_1000_335.1683_1_1_0_50_0_0_3.png,0,1,2,0,50,50,1,0,0,0.7819053,4.473679,50,66.36435,356.1009,1000,335.1683,1,1,0,50,0,50,0,0,3,
