Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Robot facing 2nd closest human?,Robot facing 3rd closest human?,Closest human facing robot?,2nd closest human facing robot?,3d closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,PosRot1,PosRot2,PosRot3,PosRot4,PosRot5,PosRot6,PosRot7,PosRot8,PosRot9,PosRot10,PosRot11,PosRotPepper,
350,data/screenshots/350_1_0_3_0_50_50_0_0_2.483296_2.41218_3.829753_4.52115_287.3051_341.6377_323.5125_309.3051_0_1_1_0_0_0_1_2.41218_0_1_4.png,1,0,3,0,50,50,0,0,2.483296,2.41218,3.829753,4.52115,287.3051,341.6377,323.5125,309.3051,0,1,1,0,0,0,1,2.41218,0,50,1,0,4,"(-4.2, -0.9, -0.2) (0.0, 1.0, 0.0, 0.0)",_,_,_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)",_,"(-5.3, -0.9, -3.2) (0.0, 1.0, 0.0, 0.2)",_,_,"(-3.0, -0.9, -3.9) (0.0, 0.0, 0.0, 1.0)",
351,data/screenshots/351_1_0_1_0_50_50_0_0_2.086821_3.287378_50_50_340.149_1000_1000_1000_1_0_0_0_0_0_0_50_0_1_2.png,1,0,1,0,50,50,0,0,2.086821,3.287378,50,50,340.149,1000,1000,1000,1,0,0,0,0,0,0,50,0,50,1,0,2,_,_,_,_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)",_,_,_,_,"(-3.0, -0.9, -2.1) (-0.1, -0.3, 0.0, 0.9)",
352,data/screenshots/352_0_1_6_4_0.9188745_3.184943_0_1_0_1.667636_2.288102_2.359182_58.91058_355.7538_10.76641_14.28604_0_1_1_1_0_0_0_50_0_0_7.png,0,1,6,4,0.9188745,3.184943,0,1,0,1.667636,2.288102,2.359182,58.91058,355.7538,10.76641,14.28604,0,1,1,1,0,0,0,50,0,50,0,0,7,"(-3.0, -0.9, -2.1) (0.0, 1.0, 0.0, 0.0)","(-2.1, -0.9, -3.0) (0.0, -0.7, 0.0, 0.7)","(-3.0, -0.9, -3.9) (0.0, 0.0, 0.0, 1.0)","(-3.9, -0.9, -3.0) (0.0, 0.7, 0.0, 0.7)","(-3.8, -0.9, -3.6) (0.0, 0.4, 0.0, 0.9)","(-5.0, -0.9, -4.8) (0.0, 0.5, 0.0, -0.9)",_,_,_,_,_,"(-6.1, -0.9, -3.6) (0.0, 0.6, 0.0, 0.8)",
353,data/screenshots/353_1_0_3_0_50_50_0_0_0.9507342_3.56641_4.171938_5.429389_96.00514_89.01199_141.7231_104.2912_0_0_0_0_0_0_0_50_0_0_4.png,1,0,3,0,50,50,0,0,0.9507342,3.56641,4.171938,5.429389,96.00514,89.01199,141.7231,104.2912,0,0,0,0,0,0,0,50,0,50,0,0,4,"(-6.1, -0.9, -4.3) (0.0, 0.4, 0.0, -0.9)","(-8.5, -0.9, -1.3) (0.0, 1.0, 0.0, -0.3)","(-6.3, -0.9, -5.0) (0.0, 0.0, 0.0, -1.0)",_,_,_,_,_,_,_,_,"(-3.2, -0.9, -2.2) (0.0, 0.9, 0.0, 0.4)",
354,data/screenshots/354_0_1_1_0_50_50_0_0_0_5.080265_50_50_245.1051_1000_1000_344.4031_0_0_0_1_0_0_0_50_0_0_2.png,0,1,1,0,50,50,0,0,0,5.080265,50,50,245.1051,1000,1000,344.4031,0,0,0,1,0,0,0,50,0,50,0,0,2,"(-3.8, -0.9, -3.8) (0.0, 0.4, 0.0, -0.9)",_,_,_,_,_,_,_,_,_,_,"(-8.5, -0.9, -1.9) (0.0, 0.9, 0.0, -0.4)",
355,data/screenshots/355_1_0_3_0_50_50_0_0_1.631616_2.231767_4.176678_4.304121_165.1366_224.7285_201.2755_42.53977_0_0_0_1_0_0_0_50_0_1_4.png,1,0,3,0,50,50,0,0,1.631616,2.231767,4.176678,4.304121,165.1366,224.7285,201.2755,42.53977,0,0,0,1,0,0,0,50,0,50,1,0,4,"(-6.3, -0.9, -3.8) (0.0, 0.5, 0.0, 0.9)","(-7.2, -0.9, -1.1) (0.0, 0.2, 0.0, -1.0)",_,_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)",_,_,_,_,"(-4.1, -0.9, -4.1) (0.0, 0.8, 0.0, 0.6)",
356,data/screenshots/356_0_1_3_0_50_50_0_0_0_2.336248_3.503071_3.973883_8.870667_114.7613_107.8048_158.0023_1_0_0_0_0_0_0_50_1_0_5.png,0,1,3,0,50,50,0,0,0,2.336248,3.503071,3.973883,8.870667,114.7613,107.8048,158.0023,1,0,0,0,0,0,0,50,1,3.240958,0,0,5,"(-3.1, -0.9, -3.2) (0.0, 0.5, 0.0, -0.9)","(-7.2, -0.9, -0.8) (0.0, 0.1, 0.0, 1.0)","(-2.7, -0.9, -2.7) (0.0, 1.0, 0.0, 0.0)",_,_,_,_,_,_,_,"(-8.2, -0.9, -0.2) (0.0, 1.0, 0.0, 0.1)","(-6.6, -0.9, -3.1) (-0.1, -0.2, 0.0, 1.0)",
357,data/screenshots/357_0_1_8_0_50_50_0_0_0_2.643563_3.338185_3.4041_75.0235_97.40813_113.4935_30.95996_0_0_0_1_0_1_2_4.433753_0_0_9.png,0,1,8,0,50,50,0,0,0,2.643563,3.338185,3.4041,75.0235,97.40813,113.4935,30.95996,0,0,0,1,0,1,2,4.433753,0,50,0,0,9,"(-2.9, -0.9, -2.8) (0.0, 0.4, 0.0, -0.9)","(-6.0, -0.9, -3.3) (0.0, 0.5, 0.0, 0.9)","(-4.9, -0.9, -3.6) (0.0, 0.8, 0.0, -0.6)","(-5.5, -0.9, -3.7) (0.0, 0.4, 0.0, 0.9)","(-7.3, -0.9, -1.3) (0.0, 0.3, 0.0, 1.0)","(-4.0, -0.9, -3.7) (0.0, 0.9, 0.0, 0.5)",_,_,"(-5.0, -0.9, -4.6) (0.0, 1.0, 0.0, -0.3)","(-4.4, -0.9, -4.9) (0.0, 1.0, 0.0, 0.1)",_,"(-3.8, -0.9, -0.4) (0.0, 0.7, 0.0, 0.7)",
358,data/screenshots/358_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_0_0_1.png,0,1,0,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,0,0,0,0,0,0,0,50,0,50,0,0,1,_,_,_,_,_,_,_,_,_,_,_,"(-4.4, -0.9, -0.3) (0.0, 1.0, 0.0, 0.0)",
359,data/screenshots/359_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_0_0_1.png,0,1,0,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,0,0,0,0,0,0,0,50,0,50,0,0,1,_,_,_,_,_,_,_,_,_,_,_,"(-8.5, -0.9, -0.4) (0.0, 1.0, 0.0, 0.0)",
