2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,group_radius,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius
0,0,0,141.4374,112.9306,58.320409999999995,90.43741,1.382456,1.524118,50.0,50.0,0.942421,50.0,50.0,0,7,0,0,6,0,0,0,0,0,0,0,0.0
0,0,0,269.8018,310.6738,312.6696,358.8712,1.404158,2.76687,50.0,3.872036,1.126082,50.0,50.0,0,6,0,2,5,0,0,0,0,1,0,0,0.0
0,0,1,354.7702,181.9705,163.423,65.96844,4.9291279999999995,4.9814110000000005,50.0,0.9022657,0.9022657,50.0,50.0,0,5,0,1,4,0,0,0,0,0,0,0,0.0
0,0,0,155.3968,23.688779999999998,337.4302,350.2453,1.1846079999999999,1.473818,50.0,50.0,0.8568723,1.392087,0.5665207,0,7,0,0,6,5,0,1,1,1,1,0,0.0
0,1,0,124.7725,145.9841,10.265839999999999,198.1909,0.5935125,4.445046,50.0,50.0,0.555838,50.0,50.0,0,5,0,0,4,0,0,0,1,0,0,0,2.810554
0,0,0,72.43293,213.7712,206.2966,42.58545,2.762877,2.9548810000000003,50.0,50.0,1.637168,50.0,50.0,0,7,0,0,6,0,0,0,0,1,0,0,1.877925
0,0,0,72.452,1000.0,1000.0,142.8334,50.0,50.0,50.0,50.0,6.21331,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,1.4454040000000001
0,0,1,323.7622,1000.0,1000.0,71.6586,50.0,50.0,50.0,50.0,2.179848,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,107.7836,1000.0,1000.0,201.0214,50.0,50.0,50.0,50.0,3.7984739999999997,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0
